,Name,Rating,Reviews,Station,Address,Genre,Lunch Price,Dinner Price,URL
0,Sushi Ikko,4.57,396,Tanukikoji,北海道札幌市中央区南2条西5-31-4 スカレッタビル 2F,Sushi,-,"JPY 40,000～JPY 49,999",https://tabelog.com/en/hokkaido/A0101/A010102/1044489/
1,Yoichi Sagura,4.44,158,Yoichi,北海道余市郡余市町登町987-2,"Italian, Auberge","JPY 15,000～JPY 19,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/hokkaido/A0106/A010602/1057186/
2,Sushi Miyakawa,4.43,121,Nishi Nijuhatchome,北海道札幌市中央区北四条西25-2-2 リヒトラーレ円山 1F,Sushi,-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/hokkaido/A0101/A010105/1073214/
3,Ajido Koro,4.39,101,Kuriyama,北海道夕張郡栗山町湯地40-35,Japanese Cuisine,-,"JPY 10,000～JPY 14,999",https://tabelog.com/en/hokkaido/A0107/A010704/1016052/
4,Parco Fiera,4.35,145,Inaho,北海道札幌市手稲区稲穂1条4-8-10,"Italian, Innovative","JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",https://tabelog.com/en/hokkaido/A0101/A010203/1064202/
5,Sushisai Wakichi,4.30,502,Maruyama Koen,北海道札幌市中央区南二条西25-1-22,Sushi,"JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/hokkaido/A0101/A010105/1000645/
6,Restaurant Moliere,4.26,479,Nishi Nijuhatchome,北海道札幌市中央区宮ケ丘2-1-1 ラファイエット宮ヶ丘　１Ｆ,French,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",https://tabelog.com/en/hokkaido/A0101/A010105/1000022/
7,Shimoyami Tenaeizuru,4.26,176,Nakajima Koen,北海道札幌市中央区南9西4-5-12 カモカモビル1F,"Innovative, French","JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",https://tabelog.com/en/hokkaido/A0101/A010104/1061277/
8,AKI NAGAO,4.22,177,Susukino,北海道札幌市中央区南3西3-3 Ｇ　ＤＩＮＩＮＧ　１Ｆ,"French, Innovative","JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",https://tabelog.com/en/hokkaido/A0101/A010103/1028665/
9,Sushino Kura,4.20,182,Tanukikoji,北海道札幌市中央区南2条西4 乙井ビル B1F,Sushi,-,"JPY 15,000～JPY 19,999",https://tabelog.com/en/hokkaido/A0101/A010103/1045430/
10,enoteca La RICOLMA,4.18,68,Goryokaku,北海道函館市富岡町2-33-12,Italian,-,"JPY 15,000～JPY 19,999",https://tabelog.com/en/hokkaido/A0105/A010501/1002207/
11,Arima,4.14,519,Tanukikoji,北海道札幌市中央区南3条西4 南3西4ビル4F,Sushi,-,"JPY 15,000～JPY 19,999",https://tabelog.com/en/hokkaido/A0101/A010102/1000457/
12,Le Musee IDEA,4.13,42,Nishi Nijuhatchome,北海道札幌市中央区宮の森一条14-3-20 ル・ミュゼ 2F,French,"JPY 30,000～JPY 39,999","JPY 40,000～JPY 49,999",https://tabelog.com/en/hokkaido/A0101/A010105/1064856/
13,Hidetaka,4.12,184,Susukino,北海道札幌市中央区南7条西4-1-2 延寿ビル 1F,Sushi,-,"JPY 20,000～JPY 29,999",https://tabelog.com/en/hokkaido/A0101/A010103/1038603/
14,Su yama,4.12,91,Nishi Juhatchome,北海道札幌市中央区大通西17-2-8 グラシアス大通 1F,Japanese Cuisine,-,"JPY 20,000～JPY 29,999",https://tabelog.com/en/hokkaido/A0101/A010104/1060884/
15,Tempura Araki,4.11,263,Susukino,北海道札幌市中央区南7条西4 延寿堂 1F,Tempura,-,"JPY 15,000～JPY 19,999",https://tabelog.com/en/hokkaido/A0101/A010103/1048079/
16,Minato,4.10,345,Asahikawa,北海道旭川市三条通5-左9,Sushi,-,"JPY 20,000～JPY 29,999",https://tabelog.com/en/hokkaido/A0104/A010401/1001719/
17,Sushi Shouta,4.09,86,Odori,北海道札幌市中央区北1条西3-3-14 敷島プラザビル別館 B1F,Sushi,"JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/hokkaido/A0101/A010102/1073448/
18,maison FUJIYA hakodate,4.07,95,Jujigai,北海道函館市元町17-17,French,"JPY 6,000～JPY 7,999","JPY 15,000～JPY 19,999",https://tabelog.com/en/hokkaido/A0105/A010501/1065131/
19,Susukino Sushikin,4.06,278,Susukino,北海道札幌市中央区南四条西4-4-7 松岡ビル 1F,Sushi,-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/hokkaido/A0101/A010103/1002644/
20,Fene Tore,4.00,27,-,北海道標津郡中標津町緑町南1-2-29,                            French                          ,-,"JPY 15,000～JPY 19,999",https://tabelog.com/en/hokkaido/A0112/A011204/1064822/
21,Sushi Souhei,3.99,72,Maruyama Koen,北海道札幌市中央区南2条西28-1-10 エビスビル 1F,Sushi,-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/hokkaido/A0101/A010105/1071934/
22,Nukumi,3.98,84,Nakajima Koen Dori,北海道札幌市中央区南10条西6丁目3番2号,Japanese Cuisine,-,"JPY 20,000～JPY 29,999",https://tabelog.com/en/hokkaido/A0101/A010104/1053112/
23,meli melo,3.96,68,Tanukikoji,北海道札幌市中央区南3西3-11 メッセビル 2F,French,"JPY 10,000～JPY 14,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/hokkaido/A0101/A010102/1063472/
24,Ichimonji Kariten,3.94,810,Nango Juhatchome,北海道札幌市白石区本通17丁目南2-4 ストーンビル本通17 1F,Curry,-,"JPY 1,000～JPY 1,999",https://tabelog.com/en/hokkaido/A0101/A010301/1024063/
25,Yakitori Higebouzu,3.90,64,Shiseikan Shogakko Mae,北海道札幌市中央区南五条西6-4 多田ビル 1F,Yakitori (Grilled chicken skewers),-,"JPY 10,000～JPY 14,999",https://tabelog.com/en/hokkaido/A0101/A010103/1070763/
26,Morieru Montan'Yu,3.90,53,Kutchan,北海道虻田郡倶知安町岩尾別字328-47 パーク ハイアット ニセコ HANAZONO レジデンス棟 1F,French,"JPY 8,000～JPY 9,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/hokkaido/A0106/A010603/1063971/
27,Semina,3.89,320,Nishi Hatchome,北海道札幌市中央区南1条西8-20-1 ライオンズマンション小六ビル 1F,"Italian, Pasta","JPY 4,000～JPY 4,999","JPY 8,000～JPY 9,999",https://tabelog.com/en/hokkaido/A0101/A010102/1055732/
28,Kuki zen,3.89,217,Otaru,北海道小樽市東雲町2-4 ヴィスタ東雲 1F,Sushi,"JPY 5,000～JPY 5,999",-,https://tabelog.com/en/hokkaido/A0106/A010601/1027167/
29,Mie da,3.88,87,Susukino,北海道札幌市中央区南五条西3丁目 第23桂和ビル 4F,"Japanese Cuisine, Fugu (Pufferfish)",-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/hokkaido/A0101/A010103/1007034/
30,Kariya! Kongu,3.84,371,Seisyugakuen Mae,北海道札幌市中央区南16条西6丁目2-10 IR山鼻 1F,Soup Curry,"JPY 2,000～JPY 2,999",-,https://tabelog.com/en/hokkaido/A0101/A010104/1029696/
31,do erumita aadi,3.80,162,Tanukikoji,北海道札幌市中央区南三条西4丁目 ３・４ビル　１０Ｆ,Bar,-,"JPY 5,000～JPY 5,999",https://tabelog.com/en/hokkaido/A0101/A010103/1000020/
32,Shunsai Shungyo Tajima,3.79,50,Goryokaku,北海道函館市富岡町3-36-1,Izakaya (Tavern),-,"JPY 4,000～JPY 4,999",https://tabelog.com/en/hokkaido/A0105/A010501/1073561/
33,Menya Saimi,3.78,3130,Misono,北海道札幌市豊平区美園10条5-3-12,Ramen,～JPY 999,～JPY 999,https://tabelog.com/en/hokkaido/A0101/A010303/1000018/
34,BAR YAMAZAKI,3.77,271,Susukino,北海道札幌市中央区南三条西3 克美ビル　４Ｆ,Bar,-,"JPY 6,000～JPY 7,999",https://tabelog.com/en/hokkaido/A0101/A010103/1000001/
35,Nino kura,3.77,165,Maruyama Koen,北海道札幌市中央区南3条西22-2-7 第51藤栄ビル 1F,Sushi,-,"JPY 15,000～JPY 19,999",https://tabelog.com/en/hokkaido/A0101/A010105/1065867/
36,AGRI SCAPE,3.77,88,Nishi Nijuhatchome,北海道札幌市西区小別沢177,Creative,"JPY 15,000～JPY 19,999","JPY 20,000～JPY 29,999",https://tabelog.com/en/hokkaido/A0101/A010105/1061234/
