,Name,Rating,Reviews,Station,Address,Genre,Lunch Price,Dinner Price,URL
0,Nihonbashi Kakigaracho Sugita,4.67,807,Suitengumae,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F,Sushi,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",https://tabelog.com/en/tokyo/A1302/A130204/13018162/
1,Shimbashi Hoshino,4.64,250,Onarimon,東京都港区新橋5-31-3,Japanese Cuisine,-,"JPY 50,000～JPY 59,999",https://tabelog.com/en/tokyo/A1314/A131401/13136847/
2,Kataori,4.63,320,Hokutetsu Kanazawa,石川県金沢市並木町3-36,Japanese Cuisine,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",https://tabelog.com/en/ishikawa/A1701/A170101/17011166/
3,Dojin,4.62,215,Sanjo Keihan,京都府京都市左京区仁王門通新柳馬場東入ル菊鉾町291-1,Japanese Cuisine,-,"JPY 50,000～JPY 59,999",https://tabelog.com/en/kyoto/A2601/A260301/26030764/
4,Higashiazabu Amamoto,4.61,524,Akabanebashi,東京都港区東麻布1-7-9 ザ・ソノビル 102,Sushi,-,"JPY 40,000～JPY 49,999",https://tabelog.com/en/tokyo/A1314/A131401/13196420/
5,Aka,4.61,432,Mitsukoshimae,東京都中央区日本橋室町2-1-1 三井2号館,Spain,-,"JPY 60,000～JPY 79,999",https://tabelog.com/en/tokyo/A1302/A130202/13249117/
6,Matsukawa,4.60,471,Roppongi Itchome,東京都港区赤坂1-11-6 赤坂テラスハウス １階,Japanese Cuisine,"JPY 60,000～JPY 79,999","JPY 60,000～JPY 79,999",https://tabelog.com/en/tokyo/A1307/A130701/13124391/
7,Sushi Arai,4.59,799,Ginza,東京都中央区銀座8-10-2 ルアンビル B1F 2F,Sushi,"JPY 50,000～JPY 59,999","JPY 50,000～JPY 59,999",https://tabelog.com/en/tokyo/A1301/A130101/13188186/
8,Naruse,4.59,262,Shin Shizuoka,静岡県静岡市葵区丸山町12-2,Tempura,-,"JPY 60,000～JPY 79,999",https://tabelog.com/en/shizuoka/A2201/A220101/22037788/
9,Ginza Shinohara,4.58,1060,Ginza Itchome,東京都中央区銀座2-8-17 ハビウル銀座2 B1,Japanese Cuisine,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",https://tabelog.com/en/tokyo/A1301/A130101/13200949/
10,Ten Zushi Kyo Cho Ten,4.58,788,Kokura,福岡県北九州市小倉北区京町3-11-9,Sushi,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",https://tabelog.com/en/fukuoka/A4004/A400401/40000721/
11,Iida,4.58,200,Kyoto Shiyakusho Mae,京都府京都市中京区姉小路富小路西入ル南側,Japanese Cuisine,-,"JPY 50,000～JPY 59,999",https://tabelog.com/en/kyoto/A2601/A260202/26016833/
12,Sushi Saitou,4.57,1110,Roppongi Itchome,東京都港区六本木1-4-5 アークヒルズサウスタワー 1Ｆ,Sushi,"JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/tokyo/A1308/A130802/13015251/
13,Onjaku,4.57,427,Yaizu,静岡県焼津市本町6-14-12,Japanese Cuisine,"JPY 10,000～JPY 14,999","JPY 15,000～JPY 19,999",https://tabelog.com/en/shizuoka/A2203/A220301/22006811/
14,Sushi Ikkou,4.57,397,Tanukikoji,北海道札幌市中央区南2条西5-31-4 スカレッタビル 2F,Sushi,-,"JPY 40,000～JPY 49,999",https://tabelog.com/en/hokkaido/A0101/A010102/1044489/
15,PELLEGRINO,4.56,278,Hiro o,東京都渋谷区恵比寿2-3-4,Italian,"JPY 100,000～","JPY 100,000～",https://tabelog.com/en/tokyo/A1303/A130302/13072775/
16,Yukimoto,4.56,231,Iida,長野県飯田市東和町2-43-1,Japanese Cuisine,"JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/nagano/A2006/A200603/20004238/
17,Chikamatsu,4.56,206,Yakuin Odori,福岡県福岡市中央区薬院2-6-19,Sushi,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",https://tabelog.com/en/fukuoka/A4001/A400104/40000415/
18,Sushi Nanba Hibiya,4.55,755,Hibiya,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,Sushi,-,"JPY 50,000～JPY 59,999",https://tabelog.com/en/tokyo/A1301/A130102/13219857/
19,Ogata,4.55,507,Shijo,京都府京都市下京区綾小路西洞院東入新釜座町726番地,Japanese Cuisine,-,-,https://tabelog.com/en/kyoto/A2601/A260201/26012136/
20,Ao,4.55,405,Roppongi,東京都港区西麻布3-21-3 オリンピアード麻布霞坂 2F,"Innovative, French",-,"JPY 40,000～JPY 49,999",https://tabelog.com/en/tokyo/A1307/A130701/13243463/
21,Mitani,4.55,294,Yotsuya,東京都新宿区四谷1-22-1,Sushi,-,"JPY 40,000～JPY 49,999",https://tabelog.com/en/tokyo/A1309/A130902/13042204/
22,Honko Getsu,4.54,315,Osaka Namba,大阪府大阪市中央区道頓堀1-7-11,Japanese Cuisine,-,"JPY 40,000～JPY 49,999",https://tabelog.com/en/osaka/A2701/A270202/27001286/
