Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price
1,DOUJIN,4.61,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B2,"" "",""+""),""+"", SUBSTITUTE(F2,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,55000.0,京都府京都市左京区仁王門通新柳馬場東入ル菊鉾町291-1,SANJO KEIHAN,213,https://tabelog.com/en/kyoto/A2601/A260301/26030764/,"JPY 50,000～JPY 59,999",-,55000.0
2,IIDA,4.58,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B3,"" "",""+""),""+"", SUBSTITUTE(F3,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,55000.0,京都府京都市中京区姉小路富小路西入ル南側,KYOTO SHIYAKUSHO MAE,200,https://tabelog.com/en/kyoto/A2601/A260202/26016833/,"JPY 50,000～JPY 59,999",-,55000.0
3,OGATA,4.54,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B4,"" "",""+""),""+"", SUBSTITUTE(F4,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,,京都府京都市下京区綾小路西洞院東入新釜座町726番地,SHIJO,508,https://tabelog.com/en/kyoto/A2601/A260201/26012136/,-,-,
4,SOTTAKU TSUKAMOTO,4.53,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B5,"" "",""+""),""+"", SUBSTITUTE(F5,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,35000.0,京都府京都市東山区祇園町南側570-120,GION SHIJO,107,https://tabelog.com/en/kyoto/A2601/A260301/26013373/,"JPY 30,000～JPY 39,999",-,35000.0
5,YAMA GISHI,4.51,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B6,"" "",""+""),""+"", SUBSTITUTE(F6,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,70000.0,京都府京都市中京区富小路通六角下る骨屋之町560,KYOTO KAWARAMACHI,561,https://tabelog.com/en/kyoto/A2601/A260201/26026316/,"JPY 60,000～JPY 79,999",-,70000.0
6,NINSHUU ROU,4.51,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B7,"" "",""+""),""+"", SUBSTITUTE(F7,"" "",""+"")), ""Link"")",CHINESE,,35000.0,京都府京都市北区紫竹北栗栖町2-12,KITAOJI,225,https://tabelog.com/en/kyoto/A2601/A260503/26033124/,"JPY 30,000～JPY 39,999",-,35000.0
7,YAMAGUCHI,4.5,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B8,"" "",""+""),""+"", SUBSTITUTE(F8,"" "",""+"")), ""Link"")","ITALIAN, INNOVATIVE",,55000.0,京都府京都市東山区祇園町南側570-185,GION SHIJO,364,https://tabelog.com/en/kyoto/A2601/A260301/26018397/,"JPY 50,000～JPY 59,999",-,55000.0
8,MIYOSHI,4.46,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B9,"" "",""+""),""+"", SUBSTITUTE(F9,"" "",""+"")), ""Link"")","BEEF DISHES, JAPANESE CUISINE",,70000.0,京都府京都市東山区祇園町南側570-15,GION SHIJO,601,https://tabelog.com/en/kyoto/A2601/A260301/26002222/,"JPY 60,000～JPY 79,999",-,70000.0
9,MITA,4.45,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B10,"" "",""+""),""+"", SUBSTITUTE(F10,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,70000.0,京都府京都市中京区寺町通竹屋町下ル久遠院前町667-1,JINGU MARUTAMACHI,149,https://tabelog.com/en/kyoto/A2601/A260302/26016620/,"JPY 60,000～JPY 79,999",-,70000.0
10,KYOTENJIN NOGUCHI,4.43,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B11,"" "",""+""),""+"", SUBSTITUTE(F11,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,25000.0,京都府京都市上京区天神道上ノ下立売上ル北町573-11 1F,KITANO HAKUBAICHO,277,https://tabelog.com/en/kyoto/A2601/A260501/26018304/,"JPY 20,000～JPY 29,999",-,25000.0
11,NISHIBUCHI HANTEN,4.42,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B12,"" "",""+""),""+"", SUBSTITUTE(F12,"" "",""+"")), ""Link"")",CHINESE,,35000.0,京都府京都市東山区上弁天町444-2,GION SHIJO,342,https://tabelog.com/en/kyoto/A2601/A260301/26022200/,"JPY 30,000～JPY 39,999",-,35000.0
12,KIU,4.42,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B13,"" "",""+""),""+"", SUBSTITUTE(F13,"" "",""+"")), ""Link"")","SUSHI, CREATIVE",45000.0,45000.0,京都府京都市下京区神明町230-2 2F,KARASUMA,187,https://tabelog.com/en/kyoto/A2601/A260201/26034605/,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",45000.0
13,KIYAMA,4.39,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B14,"" "",""+""),""+"", SUBSTITUTE(F14,"" "",""+"")), ""Link"")",JAPANESE CUISINE,17500.0,35000.0,京都府京都市中京区絹屋町136 ヴェルドール御所 1F,MARUTAMACHI,458,https://tabelog.com/en/kyoto/A2601/A260202/26029017/,"JPY 30,000～JPY 39,999","JPY 15,000～JPY 19,999",35000.0
14,SAIKA,4.39,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B15,"" "",""+""),""+"", SUBSTITUTE(F15,"" "",""+"")), ""Link"")",CHINESE,,35000.0,京都府京都市東山区泉涌寺山内町35-3,TOFUKUJI,238,https://tabelog.com/en/kyoto/A2601/A260304/26023771/,"JPY 30,000～JPY 39,999",-,35000.0
15,MIZAI,4.35,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B16,"" "",""+""),""+"", SUBSTITUTE(F16,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,70000.0,京都府京都市東山区八坂鳥居前東入ル円山町613 円山公園,HIGASHIYAMA,422,https://tabelog.com/en/kyoto/A2601/A260301/26002279/,"JPY 60,000～JPY 79,999",-,70000.0
16,KAWAGUCHI,4.34,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B17,"" "",""+""),""+"", SUBSTITUTE(F17,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,35000.0,京都府京都市,-,47,https://tabelog.com/en/kyoto/A2601/A260301/26006453/,"JPY 30,000～JPY 39,999",-,35000.0
17,KUISHINOBO YAMANAKA,4.33,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B18,"" "",""+""),""+"", SUBSTITUTE(F18,"" "",""+"")), ""Link"")","STEAK, HAMBURGER STEAK, YOSHOKU (JAPANESE STYLE WESTERN CUISINE)",25000.0,35000.0,京都府京都市西京区御陵溝浦町26-26,KATSURA,694,https://tabelog.com/en/kyoto/A2601/A260401/26002126/,"JPY 30,000～JPY 39,999","JPY 20,000～JPY 29,999",35000.0
18,MIYAMA SOU,4.33,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B19,"" "",""+""),""+"", SUBSTITUTE(F19,"" "",""+"")), ""Link"")",JAPANESE CUISINE,25000.0,25000.0,京都府京都市左京区花脊原地町大悲山,-,185,https://tabelog.com/en/kyoto/A2601/A260504/26001066/,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",25000.0
19,SAKANA RYOURINA WAYA,4.33,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B20,"" "",""+""),""+"", SUBSTITUTE(F20,"" "",""+"")), ""Link"")",JAPANESE CUISINE,17500.0,17500.0,京都府京丹後市弥栄町黒部2517,-,156,https://tabelog.com/en/kyoto/A2609/A260903/26015836/,"JPY 15,000～JPY 19,999","JPY 15,000～JPY 19,999",17500.0
20,HIRO SAWA,4.33,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B21,"" "",""+""),""+"", SUBSTITUTE(F21,"" "",""+"")), ""Link"")",CHINESE,,35000.0,京都府京都市中京区不動町183,KARASUMA,152,https://tabelog.com/en/kyoto/A2601/A260201/26039000/,"JPY 30,000～JPY 39,999",-,35000.0
21,OGAWA,4.32,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B22,"" "",""+""),""+"", SUBSTITUTE(F22,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,12500.0,京都府京都市下京区西木屋町通四条下ル船頭町204 １F,KYOTO KAWARAMACHI,283,https://tabelog.com/en/kyoto/A2601/A260201/26013892/,"JPY 10,000～JPY 14,999",-,12500.0
22,MITSU YASU,4.31,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B23,"" "",""+""),""+"", SUBSTITUTE(F23,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,35000.0,京都府京都市上京区千本通丸太町上る二筋目東入,NIJO,90,https://tabelog.com/en/kyoto/A2601/A260501/26022648/,"JPY 30,000～JPY 39,999",-,35000.0
23,HIGASHIYAMA YOSHIHISA,4.29,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B24,"" "",""+""),""+"", SUBSTITUTE(F24,"" "",""+"")), ""Link"")",JAPANESE CUISINE,12500.0,35000.0,京都府京都市東山区妙法院前側町422,SHICHIJO,177,https://tabelog.com/en/kyoto/A2601/A260301/26031203/,"JPY 30,000～JPY 39,999","JPY 10,000～JPY 14,999",35000.0
24,KODAIJI WAKUDEN,4.28,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B25,"" "",""+""),""+"", SUBSTITUTE(F25,"" "",""+"")), ""Link"")",JAPANESE CUISINE,35000.0,70000.0,京都府京都市東山区高台寺北門前鷲尾町512,GION SHIJO,208,https://tabelog.com/en/kyoto/A2601/A260301/26000535/,"JPY 60,000～JPY 79,999","JPY 30,000～JPY 39,999",70000.0
25,SOUJIKI NAKAHIGASHI,4.27,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B26,"" "",""+""),""+"", SUBSTITUTE(F26,"" "",""+"")), ""Link"")",JAPANESE CUISINE,12500.0,35000.0,京都府京都市左京区浄土寺石橋町32-3,MOTOTANAKA,690,https://tabelog.com/en/kyoto/A2601/A260302/26001800/,"JPY 30,000～JPY 39,999","JPY 10,000～JPY 14,999",35000.0
26,HASSUN,4.25,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B27,"" "",""+""),""+"", SUBSTITUTE(F27,"" "",""+"")), ""Link"")","JAPANESE CUISINE, SUPPON (SOFT-SHELL TURTLE)",12500.0,25000.0,京都府京都市東山区祇園末吉町95,GION SHIJO,222,https://tabelog.com/en/kyoto/A2601/A260301/26002259/,"JPY 20,000～JPY 29,999","JPY 10,000～JPY 14,999",25000.0
27,HAYASHI,4.23,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B28,"" "",""+""),""+"", SUBSTITUTE(F28,"" "",""+"")), ""Link"")",JAPANESE CUISINE,12500.0,35000.0,京都府京都市上京区梶井町448-61,DEMACHIYANAGI,292,https://tabelog.com/en/kyoto/A2601/A260302/26000305/,"JPY 30,000～JPY 39,999","JPY 10,000～JPY 14,999",35000.0
28,SUZUE,4.23,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B29,"" "",""+""),""+"", SUBSTITUTE(F29,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,90000.0,京都府京都市左京区岡崎神宮道仁王門白川南入ル,HIGASHIYAMA,180,https://tabelog.com/en/kyoto/A2601/A260301/26014309/,"JPY 80,000～JPY 99,999",-,90000.0
29,IFUKI,4.21,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B30,"" "",""+""),""+"", SUBSTITUTE(F30,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,25000.0,京都府京都市東山区祇園町南側570-8,GION SHIJO,218,https://tabelog.com/en/kyoto/A2601/A260301/26017706/,"JPY 20,000～JPY 29,999",-,25000.0
30,SASAKI,4.2,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B31,"" "",""+""),""+"", SUBSTITUTE(F31,"" "",""+"")), ""Link"")",JAPANESE CUISINE,25000.0,45000.0,京都府京都市東山区八坂通大和大路東入小松町566-27,GION SHIJO,409,https://tabelog.com/en/kyoto/A2601/A260301/26001863/,"JPY 40,000～JPY 49,999","JPY 20,000～JPY 29,999",45000.0
31,OWATARI,4.2,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B32,"" "",""+""),""+"", SUBSTITUTE(F32,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,45000.0,京都府京都市東山区祇園町南側570-265,GION SHIJO,293,https://tabelog.com/en/kyoto/A2601/A260301/26014312/,"JPY 40,000～JPY 49,999",-,45000.0
32,HIGASHIYAMA OGATA,4.2,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B33,"" "",""+""),""+"", SUBSTITUTE(F33,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,35000.0,京都府京都市左京区岡崎円勝寺町91-5 眞松庵 1F,HIGASHIYAMA,98,https://tabelog.com/en/kyoto/A2601/A260301/26036476/,"JPY 30,000～JPY 39,999",-,35000.0
33,TOKUHAMOTO NARI,4.19,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B34,"" "",""+""),""+"", SUBSTITUTE(F34,"" "",""+"")), ""Link"")",JAPANESE CUISINE,25000.0,25000.0,京都府京都市上京区新御霊口町287-5,KURAMAGUCHI,67,https://tabelog.com/en/kyoto/A2601/A260503/26040349/,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",25000.0
34,CHUUGOKUSAI GUU,4.19,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B35,"" "",""+""),""+"", SUBSTITUTE(F35,"" "",""+"")), ""Link"")",CHINESE,17500.0,17500.0,京都府京都市中京区樋之口467-2,KYOTO SHIYAKUSHO MAE,64,https://tabelog.com/en/kyoto/A2601/A260202/26038550/,"JPY 15,000～JPY 19,999","JPY 15,000～JPY 19,999",17500.0
35,RYORIYA STEPHAN PANTEL,4.17,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B36,"" "",""+""),""+"", SUBSTITUTE(F36,"" "",""+"")), ""Link"")",FRENCH,9000.0,17500.0,京都府京都市中京区柳馬場通丸太町下ル四丁目182,MARUTAMACHI,382,https://tabelog.com/en/kyoto/A2601/A260202/26023370/,"JPY 15,000～JPY 19,999","JPY 8,000～JPY 9,999",17500.0
36,SANGEN CHA,4.17,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B37,"" "",""+""),""+"", SUBSTITUTE(F37,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,25000.0,京都府京都市東山区祇園町北側347-96,GION SHIJO,341,https://tabelog.com/en/kyoto/A2601/A260301/26005351/,"JPY 20,000～JPY 29,999",-,25000.0
