,Name,Rating,Reviews,Station,Address,Genre,Lunch Price,Dinner Price,URL
0,Doujin,4.61,213,Sanjo Keihan,京都府京都市左京区仁王門通新柳馬場東入ル菊鉾町291-1,Japanese Cuisine,-,"JPY 50,000～JPY 59,999",https://tabelog.com/en/kyoto/A2601/A260301/26030764/
1,Iida,4.58,200,Kyoto Shiyakusho Mae,京都府京都市中京区姉小路富小路西入ル南側,Japanese Cuisine,-,"JPY 50,000～JPY 59,999",https://tabelog.com/en/kyoto/A2601/A260202/26016833/
2,Ogata,4.54,508,Shijo,京都府京都市下京区綾小路西洞院東入新釜座町726番地,Japanese Cuisine,-,-,https://tabelog.com/en/kyoto/A2601/A260201/26012136/
3,Sottaku Tsukamoto,4.53,107,Gion Shijo,京都府京都市東山区祇園町南側570-120,Japanese Cuisine,-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/kyoto/A2601/A260301/26013373/
4,Yama Gishi,4.51,561,Kyoto Kawaramachi,京都府京都市中京区富小路通六角下る骨屋之町560,Japanese Cuisine,-,"JPY 60,000～JPY 79,999",https://tabelog.com/en/kyoto/A2601/A260201/26026316/
5,Ninshuu Rou,4.51,225,Kitaoji,京都府京都市北区紫竹北栗栖町2-12,Chinese,-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/kyoto/A2601/A260503/26033124/
6,Yamaguchi,4.50,364,Gion Shijo,京都府京都市東山区祇園町南側570-185,"Italian, Innovative",-,"JPY 50,000～JPY 59,999",https://tabelog.com/en/kyoto/A2601/A260301/26018397/
7,Miyoshi,4.46,601,Gion Shijo,京都府京都市東山区祇園町南側570-15,"Beef dishes, Japanese Cuisine",-,"JPY 60,000～JPY 79,999",https://tabelog.com/en/kyoto/A2601/A260301/26002222/
8,Mita,4.45,149,Jingu Marutamachi,京都府京都市中京区寺町通竹屋町下ル久遠院前町667-1,Japanese Cuisine,-,"JPY 60,000～JPY 79,999",https://tabelog.com/en/kyoto/A2601/A260302/26016620/
9,Kyotenjin Noguchi,4.43,277,Kitano Hakubaicho,京都府京都市上京区天神道上ノ下立売上ル北町573-11 1F,Japanese Cuisine,-,"JPY 20,000～JPY 29,999",https://tabelog.com/en/kyoto/A2601/A260501/26018304/
10,Nishibuchi Hanten,4.42,342,Gion Shijo,京都府京都市東山区上弁天町444-2,Chinese,-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/kyoto/A2601/A260301/26022200/
11,Kiu,4.42,187,Karasuma,京都府京都市下京区神明町230-2 2F,"Sushi, Creative","JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",https://tabelog.com/en/kyoto/A2601/A260201/26034605/
12,Kiyama,4.39,458,Marutamachi,京都府京都市中京区絹屋町136 ヴェルドール御所 1F,Japanese Cuisine,"JPY 15,000～JPY 19,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/kyoto/A2601/A260202/26029017/
13,Saika,4.39,238,Tofukuji,京都府京都市東山区泉涌寺山内町35-3,Chinese,-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/kyoto/A2601/A260304/26023771/
14,Mizai,4.35,422,Higashiyama,京都府京都市東山区八坂鳥居前東入ル円山町613 円山公園,Japanese Cuisine,-,"JPY 60,000～JPY 79,999",https://tabelog.com/en/kyoto/A2601/A260301/26002279/
15,Kawaguchi,4.34,47,-,京都府京都市,                            Japanese Cuisine                          ,-,"JPY 30,000～JPY 39,999",https://tabelog.com/en/kyoto/A2601/A260301/26006453/
16,Kuishinobo Yamanaka,4.33,694,Katsura,京都府京都市西京区御陵溝浦町26-26,"Steak, Hamburger steak, Yoshoku (Japanese style western cuisine)","JPY 20,000～JPY 29,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/kyoto/A2601/A260401/26002126/
17,Miyama sou,4.33,185,-,京都府京都市左京区花脊原地町大悲山,                            Japanese Cuisine                          ,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",https://tabelog.com/en/kyoto/A2601/A260504/26001066/
18,Sakana Ryourina Waya,4.33,156,-,京都府京丹後市弥栄町黒部2517,                            Japanese Cuisine                          ,"JPY 15,000～JPY 19,999","JPY 15,000～JPY 19,999",https://tabelog.com/en/kyoto/A2609/A260903/26015836/
