Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price
1,HONKO GETSU,4.54,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B2,"" "",""+""),""+"", SUBSTITUTE(F2,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,45000.0,大阪府大阪市中央区道頓堀1-7-11,OSAKA NAMBA,315,https://tabelog.com/en/osaka/A2701/A270202/27001286/,"JPY 40,000～JPY 49,999",-,45000.0
2,SUSHI SANSHIN,4.47,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B3,"" "",""+""),""+"", SUBSTITUTE(F3,"" "",""+"")), ""Link"")",SUSHI,25000.0,25000.0,大阪府大阪市中央区内久宝寺町2-7-14,TANIMACHI 6 CHOME,394,https://tabelog.com/en/osaka/A2701/A270204/27095402/,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",25000.0
3,TORISHOU ISHII,4.44,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B4,"" "",""+""),""+"", SUBSTITUTE(F4,"" "",""+"")), ""Link"")","YAKITORI (GRILLED CHICKEN SKEWERS), CHICKEN DISHES",,12500.0,大阪府大阪市北区西天満3-11-4 1F,NANIWABASHI,335,https://tabelog.com/en/osaka/A2701/A270103/27117938/,"JPY 10,000～JPY 14,999",-,12500.0
4,GESSEN,4.36,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B5,"" "",""+""),""+"", SUBSTITUTE(F5,"" "",""+"")), ""Link"")",CHINESE,,17500.0,大阪府大阪市北区西天満1-6-4,NANIWABASHI,349,https://tabelog.com/en/osaka/A2701/A270103/27082740/,"JPY 15,000～JPY 19,999",-,17500.0
5,SUSHI OOGA,4.35,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B6,"" "",""+""),""+"", SUBSTITUTE(F6,"" "",""+"")), ""Link"")",SUSHI,,55000.0,大阪府堺市堺区大町東1-2-7,SHUKUIN,348,https://tabelog.com/en/osaka/A2705/A270501/27104114/,"JPY 50,000～JPY 59,999",-,55000.0
6,HINOTORI,4.33,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B7,"" "",""+""),""+"", SUBSTITUTE(F7,"" "",""+"")), ""Link"")",CHINESE,,12500.0,大阪府大阪市中央区伏見町2-4-9,KITAHAMA,289,https://tabelog.com/en/osaka/A2701/A270102/27085978/,"JPY 10,000～JPY 14,999",-,12500.0
7,KAHALA,4.29,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B8,"" "",""+""),""+"", SUBSTITUTE(F8,"" "",""+"")), ""Link"")",CREATIVE,,45000.0,大阪府大阪市北区曽根崎新地1-9-2 岸本ビル　２Ｆ,KITASHINCHI,415,https://tabelog.com/en/osaka/A2701/A270101/27000188/,"JPY 40,000～JPY 49,999",-,45000.0
8,HAJIME,4.28,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B9,"" "",""+""),""+"", SUBSTITUTE(F9,"" "",""+"")), ""Link"")","INNOVATIVE, FRENCH",,90000.0,大阪府大阪市西区江戸堀1-9-11 アイプラス江戸堀1F,HIGOBASHI,320,https://tabelog.com/en/osaka/A2701/A270102/27015488/,"JPY 80,000～JPY 99,999",-,90000.0
9,KI ZU NA,4.27,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B10,"" "",""+""),""+"", SUBSTITUTE(F10,"" "",""+"")), ""Link"")",SUSHI,,25000.0,大阪府大阪市都島区都島南通2-4-9 藤美ハイツ　１Ｆ,KYOBASHI,566,https://tabelog.com/en/osaka/A2701/A270107/27041868/,"JPY 20,000～JPY 29,999",-,25000.0
10,FUJIYA 1935,4.26,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B11,"" "",""+""),""+"", SUBSTITUTE(F11,"" "",""+"")), ""Link"")","INNOVATIVE, SPAIN",17500.0,35000.0,大阪府大阪市中央区鎗屋町2-4-14,TANIMACHI 4 CHOME,557,https://tabelog.com/en/osaka/A2701/A270106/27001070/,"JPY 30,000～JPY 39,999","JPY 15,000～JPY 19,999",35000.0
11,MANGER,4.24,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B12,"" "",""+""),""+"", SUBSTITUTE(F12,"" "",""+"")), ""Link"")",TONKATSU (PORK CUTLET),2500.0,2500.0,大阪府八尾市陽光園2-3-22,YAO,1940,https://tabelog.com/en/osaka/A2707/A270705/27013624/,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",2500.0
12,MOMEN,4.22,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B13,"" "",""+""),""+"", SUBSTITUTE(F13,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,25000.0,大阪府大阪市中央区心斎橋筋2-1-3,SHINSAIBASHI,159,https://tabelog.com/en/osaka/A2701/A270201/27017665/,"JPY 20,000～JPY 29,999",-,25000.0
13,JINSEI,4.21,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B14,"" "",""+""),""+"", SUBSTITUTE(F14,"" "",""+"")), ""Link"")",SUSHI,,25000.0,大阪府大阪市中央区心斎橋筋2-1-3,SHINSAIBASHI,280,https://tabelog.com/en/osaka/A2701/A270201/27000411/,"JPY 20,000～JPY 29,999",-,25000.0
14,YONE MASU,4.21,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B15,"" "",""+""),""+"", SUBSTITUTE(F15,"" "",""+"")), ""Link"")",JAPANESE CUISINE,25000.0,25000.0,大阪府大阪市北区大淀南1-9-16 山彦ビル 1F,FUKUSHIMA,183,https://tabelog.com/en/osaka/A2701/A270108/27095726/,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",25000.0
15,NH,4.21,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B16,"" "",""+""),""+"", SUBSTITUTE(F16,"" "",""+"")), ""Link"")","FRENCH, INNOVATIVE",25000.0,25000.0,大阪府大阪市北区曽根崎新地1-5-11 新陽3RDビル 1～2F,KITASHINCHI,100,https://tabelog.com/en/osaka/A2701/A270101/27133396/,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",25000.0
16,NAMA HORUMON DOKORO OSAMUCHAN,4.2,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B17,"" "",""+""),""+"", SUBSTITUTE(F17,"" "",""+"")), ""Link"")","YAKINIKU (BBQ BEEF), HORUMON (BBQ OFFEL)",,17500.0,大阪府堺市西区鳳北町8-33-4,TSUKUNO,252,https://tabelog.com/en/osaka/A2705/A270501/27052134/,"JPY 15,000～JPY 19,999",-,17500.0
17,AGNEL D'OR,4.19,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B18,"" "",""+""),""+"", SUBSTITUTE(F18,"" "",""+"")), ""Link"")",FRENCH,9000.0,25000.0,大阪府大阪市西区西本町2-4-4,AWAZA,456,https://tabelog.com/en/osaka/A2701/A270105/27074473/,"JPY 20,000～JPY 29,999","JPY 8,000～JPY 9,999",25000.0
18,OHATA,4.19,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B19,"" "",""+""),""+"", SUBSTITUTE(F19,"" "",""+"")), ""Link"")",SUSHI,,17500.0,大阪府大阪市北区堂島1-4-8 廣ビル 2F,OEBASHI,324,https://tabelog.com/en/osaka/A2701/A270101/27057420/,"JPY 15,000～JPY 19,999",-,17500.0
19,SUGALABO V,4.19,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B20,"" "",""+""),""+"", SUBSTITUTE(F20,"" "",""+"")), ""Link"")",FRENCH,,70000.0,大阪府大阪市中央区心斎橋筋2-8-16 ルイ・ヴィトンメゾン 大阪御堂筋 7F,SHINSAIBASHI,319,https://tabelog.com/en/osaka/A2701/A270202/27116163/,"JPY 60,000～JPY 79,999",-,70000.0
20,ONO,4.19,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B21,"" "",""+""),""+"", SUBSTITUTE(F21,"" "",""+"")), ""Link"")",JAPANESE CUISINE,35000.0,35000.0,大阪府大阪市北区曽根崎新地1-2-22 北リンデンビル 6F,KITASHINCHI,231,https://tabelog.com/en/osaka/A2701/A270101/27112164/,"JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",35000.0
