,Name,Rating,Reviews,Station,Address,Genre,Lunch Price,Dinner Price,URL
0,Honko getsu,4.54,315,Osaka Namba,大阪府大阪市中央区道頓堀1-7-11,Japanese Cuisine,-,"JPY 40,000～JPY 49,999",https://tabelog.com/en/osaka/A2701/A270202/27001286/
1,Sushi Sanshin,4.47,394,Tanimachi 6 Chome,大阪府大阪市中央区内久宝寺町2-7-14,Sushi,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",https://tabelog.com/en/osaka/A2701/A270204/27095402/
2,Torishou Ishii,4.44,335,Naniwabashi,大阪府大阪市北区西天満3-11-4 1F,"Yakitori (Grilled chicken skewers), Chicken dishes",-,"JPY 10,000～JPY 14,999",https://tabelog.com/en/osaka/A2701/A270103/27117938/
3,Gessen,4.36,349,Naniwabashi,大阪府大阪市北区西天満1-6-4,Chinese,-,"JPY 15,000～JPY 19,999",https://tabelog.com/en/osaka/A2701/A270103/27082740/
4,Sushi Ooga,4.35,348,Shukuin,大阪府堺市堺区大町東1-2-7,Sushi,-,"JPY 50,000～JPY 59,999",https://tabelog.com/en/osaka/A2705/A270501/27104114/
5,Hinotori,4.33,289,Kitahama,大阪府大阪市中央区伏見町2-4-9,Chinese,-,"JPY 10,000～JPY 14,999",https://tabelog.com/en/osaka/A2701/A270102/27085978/
6,Kahala,4.29,415,Kitashinchi,大阪府大阪市北区曽根崎新地1-9-2 岸本ビル　２Ｆ,Creative,-,"JPY 40,000～JPY 49,999",https://tabelog.com/en/osaka/A2701/A270101/27000188/
7,Hajime,4.28,320,Higobashi,大阪府大阪市西区江戸堀1-9-11 アイプラス江戸堀1F,"Innovative, French",-,"JPY 80,000～JPY 99,999",https://tabelog.com/en/osaka/A2701/A270102/27015488/
8,Ki Zu Na,4.27,566,Kyobashi,大阪府大阪市都島区都島南通2-4-9 藤美ハイツ　１Ｆ,Sushi,-,"JPY 20,000～JPY 29,999",https://tabelog.com/en/osaka/A2701/A270107/27041868/
9,Fujiya 1935,4.26,557,Tanimachi 4 Chome,大阪府大阪市中央区鎗屋町2-4-14,"Innovative, Spain","JPY 15,000～JPY 19,999","JPY 30,000～JPY 39,999",https://tabelog.com/en/osaka/A2701/A270106/27001070/
10,Manger,4.24,1940,Yao,大阪府八尾市陽光園2-3-22,Tonkatsu (Pork cutlet),"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",https://tabelog.com/en/osaka/A2707/A270705/27013624/
11,Momen,4.22,159,Shinsaibashi,大阪府大阪市中央区心斎橋筋2-1-3,Japanese Cuisine,-,"JPY 20,000～JPY 29,999",https://tabelog.com/en/osaka/A2701/A270201/27017665/
12,Jinsei,4.21,280,Shinsaibashi,大阪府大阪市中央区心斎橋筋2-1-3,Sushi,-,"JPY 20,000～JPY 29,999",https://tabelog.com/en/osaka/A2701/A270201/27000411/
13,Yone masu,4.21,183,Fukushima,大阪府大阪市北区大淀南1-9-16 山彦ビル 1F,Japanese Cuisine,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",https://tabelog.com/en/osaka/A2701/A270108/27095726/
