Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price
1,SUSHI IKKO,4.57,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B2,"" "",""+""),""+"", SUBSTITUTE(F2,"" "",""+"")), ""Link"")",SUSHI,,45000.0,北海道札幌市中央区南2条西5-31-4 スカレッタビル 2F,TANUKIKOJI,396,https://tabelog.com/en/hokkaido/A0101/A010102/1044489/,"JPY 40,000～JPY 49,999",-,45000.0
2,YOICHI SAGURA,4.44,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B3,"" "",""+""),""+"", SUBSTITUTE(F3,"" "",""+"")), ""Link"")","ITALIAN, AUBERGE",17500.0,35000.0,北海道余市郡余市町登町987-2,YOICHI,158,https://tabelog.com/en/hokkaido/A0106/A010602/1057186/,"JPY 30,000～JPY 39,999","JPY 15,000～JPY 19,999",35000.0
3,SUSHI MIYAKAWA,4.43,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B4,"" "",""+""),""+"", SUBSTITUTE(F4,"" "",""+"")), ""Link"")",SUSHI,,35000.0,北海道札幌市中央区北四条西25-2-2 リヒトラーレ円山 1F,NISHI NIJUHATCHOME,121,https://tabelog.com/en/hokkaido/A0101/A010105/1073214/,"JPY 30,000～JPY 39,999",-,35000.0
4,AJIDO KORO,4.39,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B5,"" "",""+""),""+"", SUBSTITUTE(F5,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,12500.0,北海道夕張郡栗山町湯地40-35,KURIYAMA,101,https://tabelog.com/en/hokkaido/A0107/A010704/1016052/,"JPY 10,000～JPY 14,999",-,12500.0
5,PARCO FIERA,4.35,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B6,"" "",""+""),""+"", SUBSTITUTE(F6,"" "",""+"")), ""Link"")","ITALIAN, INNOVATIVE",25000.0,25000.0,北海道札幌市手稲区稲穂1条4-8-10,INAHO,145,https://tabelog.com/en/hokkaido/A0101/A010203/1064202/,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",25000.0
6,SUSHISAI WAKICHI,4.3,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B7,"" "",""+""),""+"", SUBSTITUTE(F7,"" "",""+"")), ""Link"")",SUSHI,35000.0,35000.0,北海道札幌市中央区南二条西25-1-22,MARUYAMA KOEN,502,https://tabelog.com/en/hokkaido/A0101/A010105/1000645/,"JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",35000.0
7,RESTAURANT MOLIERE,4.26,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B8,"" "",""+""),""+"", SUBSTITUTE(F8,"" "",""+"")), ""Link"")",FRENCH,25000.0,25000.0,北海道札幌市中央区宮ケ丘2-1-1 ラファイエット宮ヶ丘　１Ｆ,NISHI NIJUHATCHOME,479,https://tabelog.com/en/hokkaido/A0101/A010105/1000022/,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",25000.0
8,SHIMOYAMI TENAEIZURU,4.26,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B9,"" "",""+""),""+"", SUBSTITUTE(F9,"" "",""+"")), ""Link"")","INNOVATIVE, FRENCH",25000.0,25000.0,北海道札幌市中央区南9西4-5-12 カモカモビル1F,NAKAJIMA KOEN,176,https://tabelog.com/en/hokkaido/A0101/A010104/1061277/,"JPY 20,000～JPY 29,999","JPY 20,000～JPY 29,999",25000.0
9,AKI NAGAO,4.22,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B10,"" "",""+""),""+"", SUBSTITUTE(F10,"" "",""+"")), ""Link"")","FRENCH, INNOVATIVE",45000.0,45000.0,北海道札幌市中央区南3西3-3 Ｇ　ＤＩＮＩＮＧ　１Ｆ,SUSUKINO,177,https://tabelog.com/en/hokkaido/A0101/A010103/1028665/,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",45000.0
10,SUSHINO KURA,4.2,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B11,"" "",""+""),""+"", SUBSTITUTE(F11,"" "",""+"")), ""Link"")",SUSHI,,17500.0,北海道札幌市中央区南2条西4 乙井ビル B1F,TANUKIKOJI,182,https://tabelog.com/en/hokkaido/A0101/A010103/1045430/,"JPY 15,000～JPY 19,999",-,17500.0
