Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
134,L'ATELIER DE PLAISIR,4.13,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B135,"" "",""+""),""+"", SUBSTITUTE(F135,"" "",""+"")), ""Link"")",BREAD,999.0,999.0,東京都世田谷区砧8-13-8 ジベ成城　１Ｆ,SOSHIGAYA OKURA,1017,https://tabelog.com/en/tokyo/A1318/A131814/13050412/,～JPY 999,～JPY 999,999.0,-999
169,A TES SOUHAITS!,4.05,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B170,"" "",""+""),""+"", SUBSTITUTE(F170,"" "",""+"")), ""Link"")","CAKE, SWEETS",999.0,999.0,東京都武蔵野市吉祥寺東町3-8-8 カサ吉祥寺２,NISHI OGIKUBO,2222,https://tabelog.com/en/tokyo/A1320/A132001/13005853/,～JPY 999,～JPY 999,999.0,-999
190,IKKOUAN,4.02,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B191,"" "",""+""),""+"", SUBSTITUTE(F191,"" "",""+"")), ""Link"")",JAPANESE SWEETS,999.0,,東京都文京区小石川5-3-15,MYOGADANI,746,https://tabelog.com/en/tokyo/A1323/A132302/13005076/,-,～JPY 999,999.0,-999
212,PÂTISSERIE RYOCO,3.99,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B213,"" "",""+""),""+"", SUBSTITUTE(F213,"" "",""+"")), ""Link"")","CAKE, CREAM PUFF, SWEETS",999.0,,東京都港区高輪3-2-8,TAKANAWADAI,1035,https://tabelog.com/en/tokyo/A1316/A131603/13137010/,-,～JPY 999,999.0,-999
245,GELATERIA ACQUOLINA,3.95,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B246,"" "",""+""),""+"", SUBSTITUTE(F246,"" "",""+"")), ""Link"")","GELATO,ICE CREAM, SOFT SERVE ICE CREAM",999.0,,東京都目黒区五本木1-11-10,YUTENJI,1227,https://tabelog.com/en/tokyo/A1317/A131701/13141364/,-,～JPY 999,999.0,-999
257,ASTERISQUE,3.94,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B258,"" "",""+""),""+"", SUBSTITUTE(F258,"" "",""+"")), ""Link"")",CAKE,999.0,999.0,東京都渋谷区上原1-26-16 タマテクノビル 1F,YOYOGI UEHARA,1380,https://tabelog.com/en/tokyo/A1318/A131811/13140735/,～JPY 999,～JPY 999,999.0,-999
282,LE PETITMEC HIBIYA HIBIYA TEN,3.92,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B283,"" "",""+""),""+"", SUBSTITUTE(F283,"" "",""+"")), ""Link"")","BREAD, CAFE",999.0,999.0,東京都千代田区有楽町1-2-2 日比谷シャンテ 1F,HIBIYA,1734,https://tabelog.com/en/tokyo/A1301/A130102/13219670/,～JPY 999,～JPY 999,999.0,-999
284,SOBA-SHIRO KURO,3.92,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B285,"" "",""+""),""+"", SUBSTITUTE(F285,"" "",""+"")), ""Link"")",RAMEN,999.0,999.0,東京都杉並区上高井戸1-1-7,HACHIMANYAMA,827,https://tabelog.com/en/tokyo/A1318/A131809/13242508/,～JPY 999,～JPY 999,999.0,-999
306,UDON MARUKA,3.9,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B307,"" "",""+""),""+"", SUBSTITUTE(F307,"" "",""+"")), ""Link"")",UDON (WHEAT NOODLES),999.0,999.0,東京都千代田区神田小川町3-16-1 ニュー駿河台ビル 1F,JIMBOCHO,5353,https://tabelog.com/en/tokyo/A1310/A131003/13000629/,～JPY 999,～JPY 999,999.0,-999
307,CHUUKASOBA TAGANO,3.9,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B308,"" "",""+""),""+"", SUBSTITUTE(F308,"" "",""+"")), ""Link"")","RAMEN, TSUKEMEN",999.0,,東京都品川区中延2-15-10,EBARA NAKANOBU,1894,https://tabelog.com/en/tokyo/A1317/A131712/13003421/,-,～JPY 999,999.0,-999
308,MENYA SAKURAI,3.9,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B309,"" "",""+""),""+"", SUBSTITUTE(F309,"" "",""+"")), ""Link"")",RAMEN,999.0,999.0,東京都武蔵野市西久保2-15-27,MITAKA,1640,https://tabelog.com/en/tokyo/A1320/A132002/13202438/,～JPY 999,～JPY 999,999.0,-999
312,PATISSERIE YU SASAGE,3.9,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B313,"" "",""+""),""+"", SUBSTITUTE(F313,"" "",""+"")), ""Link"")","CAKE, BREAD",999.0,,東京都世田谷区南烏山6-28-13,CHITOSE KARASUYAMA,647,https://tabelog.com/en/tokyo/A1318/A131809/13155662/,-,～JPY 999,999.0,-999
321,VIRON SHIBUYA TEN,3.89,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B322,"" "",""+""),""+"", SUBSTITUTE(F322,"" "",""+"")), ""Link"")","BREAD, SANDWICH, CAKE",999.0,999.0,東京都渋谷区宇田川町33-8 塚田ビル 1F,SHINSEN,2826,https://tabelog.com/en/tokyo/A1303/A130301/13004626/,～JPY 999,～JPY 999,999.0,-999
326,IRUCA TOKYO,3.89,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B327,"" "",""+""),""+"", SUBSTITUTE(F327,"" "",""+"")), ""Link"")",RAMEN,999.0,999.0,東京都東久留米市本町1-4-28,HIGASHI KURUME,551,https://tabelog.com/en/tokyo/A1328/A132802/13234223/,～JPY 999,～JPY 999,999.0,-999
343,PAIN DES PHILOSOPHES,3.88,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B344,"" "",""+""),""+"", SUBSTITUTE(F344,"" "",""+"")), ""Link"")",BREAD,,999.0,東京都新宿区東五軒町1-8,KAGURAZAKA,1087,https://tabelog.com/en/tokyo/A1309/A130905/13213156/,～JPY 999,-,999.0,-999
