Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
211,RAXA MENYA SHIMA,3.99,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B212,"" "",""+""),""+"", SUBSTITUTE(F212,"" "",""+"")), ""Link"")","RAMEN, TSUKEMEN",1500.0,,東京都渋谷区本町3-41-12,NISHI SHINJUKU GOCHOME,1448,https://tabelog.com/en/tokyo/A1304/A130401/13247487/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
215,SUPAISHI KAREROKA,3.99,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B216,"" "",""+""),""+"", SUBSTITUTE(F216,"" "",""+"")), ""Link"")","CURRY, TAIWAN CUISINE",1500.0,1500.0,東京都新宿区百人町1-24-8 新宿タウンプラザビル BF-J,OKUBO,351,https://tabelog.com/en/tokyo/A1304/A130404/13286023/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
220,RAMEN FEEL,3.98,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B221,"" "",""+""),""+"", SUBSTITUTE(F221,"" "",""+"")), ""Link"")",RAMEN,1500.0,,東京都青梅市梅郷4-695-1,HINATAWADA,902,https://tabelog.com/en/tokyo/A1330/A133003/13254631/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
226,PATISSERIE PARIS S'EVEILLE,3.97,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B227,"" "",""+""),""+"", SUBSTITUTE(F227,"" "",""+"")), ""Link"")","CAKE, CAFE, BREAD",1500.0,1500.0,東京都目黒区自由が丘2-14-5 館山ビル 1F,JIYUGAOKA,2423,https://tabelog.com/en/tokyo/A1317/A131703/13005198/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
227,AIGRE DOUCE,3.97,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B228,"" "",""+""),""+"", SUBSTITUTE(F228,"" "",""+"")), ""Link"")","CAKE, CAFE, MACAROON",1500.0,1500.0,東京都新宿区下落合3-22-13,MEJIRO,1828,https://tabelog.com/en/tokyo/A1305/A130502/13005641/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
229,TSUKITO KAME,3.97,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B230,"" "",""+""),""+"", SUBSTITUTE(F230,"" "",""+"")), ""Link"")",INDIAN CURRY,1500.0,,東京都江東区新大橋3-7-3,MORISHITA,449,https://tabelog.com/en/tokyo/A1312/A131201/13262828/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
235,HOMEMADE RAMEN MUGINAE,3.96,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B236,"" "",""+""),""+"", SUBSTITUTE(F236,"" "",""+"")), ""Link"")","RAMEN, TSUKEMEN",1500.0,1500.0,東京都品川区南大井6-11-10,OMORIKAIGAN,2108,https://tabelog.com/en/tokyo/A1315/A131502/13194812/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
244,SHINJIKO SHIJIMI CHUUKASOBA KOHAKU TOKYO HONTEN,3.95,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B245,"" "",""+""),""+"", SUBSTITUTE(F245,"" "",""+"")), ""Link"")",RAMEN,1500.0,,東京都大田区西六郷2-1-3,ZOSHIKI,1343,https://tabelog.com/en/tokyo/A1315/A131503/13234195/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
246,JAPANIZU RAMEN GOKAN,3.95,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B247,"" "",""+""),""+"", SUBSTITUTE(F247,"" "",""+"")), ""Link"")","RAMEN, TSUKEMEN",1500.0,,東京都豊島区東池袋2-57-2 コスモ東池袋 101,IKEBUKURO,786,https://tabelog.com/en/tokyo/A1305/A130501/13284009/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
255,CHUUKASOBA SHIBATA,3.94,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B256,"" "",""+""),""+"", SUBSTITUTE(F256,"" "",""+"")), ""Link"")",RAMEN,1500.0,,東京都調布市若葉町2-25-20,SENGAWA,2463,https://tabelog.com/en/tokyo/A1326/A132601/13162681/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
262,MEDIKA SOBA KINGYO,3.94,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B263,"" "",""+""),""+"", SUBSTITUTE(F263,"" "",""+"")), ""Link"")",RAMEN,1500.0,,東京都日野市石田2-9-1,MANGANJI,533,https://tabelog.com/en/tokyo/A1329/A132903/13272366/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
269,MENYA KISSOU,3.93,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B270,"" "",""+""),""+"", SUBSTITUTE(F270,"" "",""+"")), ""Link"")","RAMEN, TSUKEMEN",1500.0,,東京都江東区東陽1-11-3,KIBA,2043,https://tabelog.com/en/tokyo/A1313/A131303/13021140/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
270,IRUKA TOUKYOU ROPPONGI,3.93,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B271,"" "",""+""),""+"", SUBSTITUTE(F271,"" "",""+"")), ""Link"")",RAMEN,1500.0,1500.0,東京都港区六本木4-12-12 穂高ビル 1F,ROPPONGI,1698,https://tabelog.com/en/tokyo/A1307/A130701/13264260/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
271,AVRANCHES GUESNAY,3.93,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B272,"" "",""+""),""+"", SUBSTITUTE(F272,"" "",""+"")), ""Link"")","CAKE, CHOCOLATE",1500.0,1500.0,東京都文京区本郷4-17-6 1F,KASUGA,1003,https://tabelog.com/en/tokyo/A1310/A131004/13186450/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
272,SPICE POST,3.93,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B273,"" "",""+""),""+"", SUBSTITUTE(F273,"" "",""+"")), ""Link"")",CURRY,1500.0,,東京都渋谷区富ヶ谷1-52-2,YOYOGI HACHIMAN,912,https://tabelog.com/en/tokyo/A1318/A131810/13210691/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
276,NATSUYANO CHUUKASOBA,3.93,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B277,"" "",""+""),""+"", SUBSTITUTE(F277,"" "",""+"")), ""Link"")",RAMEN,1500.0,,東京都大田区下丸子4-4-8,SHIMOMARUKO,365,https://tabelog.com/en/tokyo/A1317/A131716/13293385/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
283,OBON VUTAN OYAMADAI TEN,3.92,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B284,"" "",""+""),""+"", SUBSTITUTE(F284,"" "",""+"")), ""Link"")","CAKE, SIDE DISHES, DELICATESSEN, CAFE",1500.0,1500.0,東京都世田谷区等々力2-1-3,OYAMADAI,991,https://tabelog.com/en/tokyo/A1317/A131715/13181654/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
285,TOUKYOU SUTAIRU NU-DORU HOTATE BIYORI,3.92,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B286,"" "",""+""),""+"", SUBSTITUTE(F286,"" "",""+"")), ""Link"")","TSUKEMEN, RAMEN",1500.0,1500.0,東京都千代田区神田佐久間町2-25,AKIHABARA,757,https://tabelog.com/en/tokyo/A1310/A131001/13280086/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
288,KARESHOPPU FUENNERU,3.92,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B289,"" "",""+""),""+"", SUBSTITUTE(F289,"" "",""+"")), ""Link"")",INDIAN CURRY,1500.0,1500.0,東京都杉並区松庵3-37-22 西荻マノン 2F,NISHI OGIKUBO,258,https://tabelog.com/en/tokyo/A1319/A131907/13273254/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
295,MOTENASHI KUROKI,3.91,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B296,"" "",""+""),""+"", SUBSTITUTE(F296,"" "",""+"")), ""Link"")",RAMEN,1500.0,1500.0,東京都台東区浅草橋1-28-9 ROJI ASAKUSABASHI 1F,ASAKUSABASHI,669,https://tabelog.com/en/tokyo/A1311/A131103/13290780/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
296,HARUDAMON KARE,3.91,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B297,"" "",""+""),""+"", SUBSTITUTE(F297,"" "",""+"")), ""Link"")",CURRY,1500.0,1500.0,東京都渋谷区上原1-33-12 ちとせビル 1F,YOYOGI UEHARA,510,https://tabelog.com/en/tokyo/A1318/A131811/13234284/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
297,MURAYAMA MANGE TSU UDON,3.91,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B298,"" "",""+""),""+"", SUBSTITUTE(F298,"" "",""+"")), ""Link"")",UDON (WHEAT NOODLES),1500.0,1500.0,東京都武蔵村山市三ツ木1-12-10,HAKONEGASAKI,432,https://tabelog.com/en/tokyo/A1329/A132901/13026307/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
309,RAMEN BREAK BEATS,3.9,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B310,"" "",""+""),""+"", SUBSTITUTE(F310,"" "",""+"")), ""Link"")",RAMEN,1500.0,1500.0,東京都目黒区目黒4-21-19 アイビーハイツ 1F,YUTENJI,998,https://tabelog.com/en/tokyo/A1317/A131701/13267329/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
310,SAKURAJOUSUI FUNAKOSHI,3.9,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B311,"" "",""+""),""+"", SUBSTITUTE(F311,"" "",""+"")), ""Link"")",RAMEN,1500.0,1500.0,東京都杉並区下高井戸1-21-10 1F,SAKURAJOSUI,889,https://tabelog.com/en/tokyo/A1318/A131809/13281101/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
