Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
144,TOMATO,4.11,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B145,"" "",""+""),""+"", SUBSTITUTE(F145,"" "",""+"")), ""Link"")",CURRY,2500.0,2500.0,東京都杉並区荻窪5-20-7 吉田ビル　１Ｆ,OGIKUBO,2255,https://tabelog.com/en/tokyo/A1319/A131906/13001113/,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",2500.0,2.5k-5k
183,KALPASI,4.03,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B184,"" "",""+""),""+"", SUBSTITUTE(F184,"" "",""+"")), ""Link"")","INDIAN CURRY, NEPALESE, SRI LANKAN",,4500.0,東京都世田谷区経堂4-3-10 1F,CHITOSE FUNABASHI,387,https://tabelog.com/en/tokyo/A1318/A131813/13202529/,"JPY 4,000～JPY 4,999",-,4500.0,2.5k-5k
222,RATORIE A MA FASON,3.98,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B223,"" "",""+""),""+"", SUBSTITUTE(F223,"" "",""+"")), ""Link"")","SWEETS, CAFE",4500.0,4500.0,東京都世田谷区上野毛1-26-14,KAMINOGE,414,https://tabelog.com/en/tokyo/A1317/A131715/13242556/,"JPY 4,000～JPY 4,999","JPY 4,000～JPY 4,999",4500.0,2.5k-5k
228,TONTA,3.97,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B229,"" "",""+""),""+"", SUBSTITUTE(F229,"" "",""+"")), ""Link"")",TONKATSU (PORK CUTLET),,2500.0,東京都豊島区高田3-17-8,TAKADANOBABA,1640,https://tabelog.com/en/tokyo/A1305/A130503/13003984/,"JPY 2,000～JPY 2,999",-,2500.0,2.5k-5k
250,BUROKKU HAUSU SUIYOU KARE,3.95,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B251,"" "",""+""),""+"", SUBSTITUTE(F251,"" "",""+"")), ""Link"")","CURRY, INDIAN CURRY",2500.0,3500.0,東京都渋谷区神宮前6-12-9 BLOCK HOUSE 3F,MEIJI JINGUMAE,270,https://tabelog.com/en/tokyo/A1306/A130601/13183182/,"JPY 3,000～JPY 3,999","JPY 2,000～JPY 2,999",3500.0,2.5k-5k
256,FUREDERIKKU KASSERU GINZA MITSUKOSHI TEN,3.94,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B257,"" "",""+""),""+"", SUBSTITUTE(F257,"" "",""+"")), ""Link"")","CAKE, SWEETS, CHOCOLATE",2500.0,,東京都中央区銀座4-6-16 銀座三越 B2F,GINZA,1383,https://tabelog.com/en/tokyo/A1301/A130101/13116839/,-,"JPY 2,000～JPY 2,999",2500.0,2.5k-5k
260,RYOURA,3.94,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B261,"" "",""+""),""+"", SUBSTITUTE(F261,"" "",""+"")), ""Link"")","CAKE, SWEETS",,3500.0,東京都世田谷区用賀4-29-5 グリーンヒルズ用賀ST 1F,YOGA,662,https://tabelog.com/en/tokyo/A1317/A131707/13188208/,"JPY 3,000～JPY 3,999",-,3500.0,2.5k-5k
303,LESS BY GABRIELE RIVA & KANAKO SAKAKURA,3.91,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B304,"" "",""+""),""+"", SUBSTITUTE(F304,"" "",""+"")), ""Link"")","CAKE, CHOCOLATE",2500.0,,東京都目黒区三田1-12-24 MT3ビル 1F,EBISU,247,https://tabelog.com/en/tokyo/A1303/A130302/13274859/,-,"JPY 2,000～JPY 2,999",2500.0,2.5k-5k
315,LESS LABO,3.9,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B316,"" "",""+""),""+"", SUBSTITUTE(F316,"" "",""+"")), ""Link"")","CAKE, CAFE",2500.0,,東京都目黒区三田1-12-25 金子ビル 1F,EBISU,544,https://tabelog.com/en/tokyo/A1303/A130302/13239458/,-,"JPY 2,000～JPY 2,999",2500.0,2.5k-5k
318,BAR KISALA,3.9,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B319,"" "",""+""),""+"", SUBSTITUTE(F319,"" "",""+"")), ""Link"")","BAR, WINE BAR",,4500.0,東京都港区赤坂3-14-7 バルビゾン44 4F,AKASAKA,165,https://tabelog.com/en/tokyo/A1308/A130801/13116198/,"JPY 4,000～JPY 4,999",-,4500.0,2.5k-5k
