Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
1,SUGI TA,4.66,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B2,"" "",""+""),""+"", SUBSTITUTE(F2,"" "",""+"")), ""Link"")",SUSHI,45000.0,45000.0,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F,SUITENGUMAE,808,https://tabelog.com/en/tokyo/A1302/A130204/13018162/,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",45000.0,20k+
2,HOSHINO,4.63,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B3,"" "",""+""),""+"", SUBSTITUTE(F3,"" "",""+"")), ""Link"")",JAPANESE CUISINE,,55000.0,東京都港区新橋5-31-3,ONARIMON,249,https://tabelog.com/en/tokyo/A1314/A131401/13136847/,"JPY 50,000～JPY 59,999",-,55000.0,20k+
3,AMA MOTO,4.6,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B4,"" "",""+""),""+"", SUBSTITUTE(F4,"" "",""+"")), ""Link"")",SUSHI,,45000.0,東京都港区東麻布1-7-9 ザ・ソノビル 102,AKABANEBASHI,523,https://tabelog.com/en/tokyo/A1314/A131401/13196420/,"JPY 40,000～JPY 49,999",-,45000.0,20k+
4,ACA 1°,4.6,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B5,"" "",""+""),""+"", SUBSTITUTE(F5,"" "",""+"")), ""Link"")",SPAIN,,70000.0,東京都中央区日本橋室町2-1-1 三井2号館,MITSUKOSHIMAE,430,https://tabelog.com/en/tokyo/A1302/A130202/13249117/,"JPY 60,000～JPY 79,999",-,70000.0,20k+
5,MATSUKAWA,4.59,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B6,"" "",""+""),""+"", SUBSTITUTE(F6,"" "",""+"")), ""Link"")",JAPANESE CUISINE,70000.0,70000.0,東京都港区赤坂1-11-6 赤坂テラスハウス １階,ROPPONGI ITCHOME,472,https://tabelog.com/en/tokyo/A1307/A130701/13124391/,"JPY 60,000～JPY 79,999","JPY 60,000～JPY 79,999",70000.0,20k+
6,ARAI,4.58,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B7,"" "",""+""),""+"", SUBSTITUTE(F7,"" "",""+"")), ""Link"")",SUSHI,55000.0,55000.0,東京都中央区銀座8-10-2 ルアンビル B1F 2F,GINZA,796,https://tabelog.com/en/tokyo/A1301/A130101/13188186/,"JPY 50,000～JPY 59,999","JPY 50,000～JPY 59,999",55000.0,20k+
7,SAITO,4.57,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B8,"" "",""+""),""+"", SUBSTITUTE(F8,"" "",""+"")), ""Link"")",SUSHI,35000.0,35000.0,東京都港区六本木1-4-5 アークヒルズサウスタワー 1Ｆ,ROPPONGI ITCHOME,1105,https://tabelog.com/en/tokyo/A1308/A130802/13015251/,"JPY 30,000～JPY 39,999","JPY 30,000～JPY 39,999",35000.0,20k+
8,SHINO HARA,4.56,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B9,"" "",""+""),""+"", SUBSTITUTE(F9,"" "",""+"")), ""Link"")",JAPANESE CUISINE,45000.0,45000.0,東京都中央区銀座2-8-17 ハビウル銀座2 B1,GINZA ITCHOME,1053,https://tabelog.com/en/tokyo/A1301/A130101/13200949/,"JPY 40,000～JPY 49,999","JPY 40,000～JPY 49,999",45000.0,20k+
9,PELLEGRINO,4.56,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B10,"" "",""+""),""+"", SUBSTITUTE(F10,"" "",""+"")), ""Link"")",ITALIAN,100000.0,100000.0,東京都渋谷区恵比寿2-3-4,HIRO O,276,https://tabelog.com/en/tokyo/A1303/A130302/13072775/,"JPY 100,000～","JPY 100,000～",100000.0,20k+
10,AO,4.55,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B11,"" "",""+""),""+"", SUBSTITUTE(F11,"" "",""+"")), ""Link"")","INNOVATIVE, FRENCH",,45000.0,東京都港区西麻布3-21-3 オリンピアード麻布霞坂 2F,ROPPONGI,401,https://tabelog.com/en/tokyo/A1307/A130701/13243463/,"JPY 40,000～JPY 49,999",-,45000.0,20k+
11,SUSHI NAMBA HIBIYA,4.54,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B12,"" "",""+""),""+"", SUBSTITUTE(F12,"" "",""+"")), ""Link"")",SUSHI,,55000.0,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F,HIBIYA,750,https://tabelog.com/en/tokyo/A1301/A130102/13219857/,"JPY 50,000～JPY 59,999",-,55000.0,20k+
12,SAZEN KA,4.53,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B13,"" "",""+""),""+"", SUBSTITUTE(F13,"" "",""+"")), ""Link"")",CHINESE,,55000.0,東京都港区南麻布4-7-5,HIRO O,672,https://tabelog.com/en/tokyo/A1307/A130703/13205298/,"JPY 50,000～JPY 59,999",-,55000.0,20k+
13,MITANI,4.53,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B14,"" "",""+""),""+"", SUBSTITUTE(F14,"" "",""+"")), ""Link"")",SUSHI,,45000.0,東京都新宿区四谷1-22-1,YOTSUYA,294,https://tabelog.com/en/tokyo/A1309/A130902/13042204/,"JPY 40,000～JPY 49,999",-,45000.0,20k+
14,SAWADA,4.52,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B15,"" "",""+""),""+"", SUBSTITUTE(F15,"" "",""+"")), ""Link"")",SUSHI,45000.0,55000.0,東京都中央区銀座5-9-19 ＭＣビル3Ｆ,GINZA,516,https://tabelog.com/en/tokyo/A1301/A130101/13001043/,"JPY 50,000～JPY 59,999","JPY 40,000～JPY 49,999",55000.0,20k+
15,TAKIYA,4.52,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B16,"" "",""+""),""+"", SUBSTITUTE(F16,"" "",""+"")), ""Link"")",TEMPURA,,45000.0,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F,AZABU JUBAN,312,https://tabelog.com/en/tokyo/A1307/A130702/13185763/,"JPY 40,000～JPY 49,999",-,45000.0,20k+
16,QUINTESSENCE,4.51,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B17,"" "",""+""),""+"", SUBSTITUTE(F17,"" "",""+"")), ""Link"")",FRENCH,,35000.0,東京都品川区北品川6-7-29 ガーデンシティ品川 御殿山 1F,KITASHINAGAWA,1516,https://tabelog.com/en/tokyo/A1314/A131405/13159567/,"JPY 30,000～JPY 39,999",-,35000.0,20k+
