Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
22,TORI SHIKI,4.47,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B23,"" "",""+""),""+"", SUBSTITUTE(F23,"" "",""+"")), ""Link"")",YAKITORI (GRILLED CHICKEN SKEWERS),9000.0,7000.0,東京都品川区上大崎2-14-12,MEGURO,1223,https://tabelog.com/en/tokyo/A1316/A131601/13041029/,"JPY 6,000～JPY 7,999","JPY 8,000～JPY 9,999",9000.0,5k-10k
45,OHKUSA,4.37,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B46,"" "",""+""),""+"", SUBSTITUTE(F46,"" "",""+"")), ""Link"")",YAKITORI (GRILLED CHICKEN SKEWERS),,9000.0,東京都新宿区荒木町7-13 森戸ビル 1Ｆ,YOTSUYA SANCHOME,338,https://tabelog.com/en/tokyo/A1309/A130903/13240980/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
80,SUTAMINA EN,4.28,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B81,"" "",""+""),""+"", SUBSTITUTE(F81,"" "",""+"")), ""Link"")","YAKINIKU (BBQ BEEF), HORUMON (BBQ OFFEL)",,7000.0,東京都足立区鹿浜3-13-4,NISHIARAIDAISHI NISHI,2067,https://tabelog.com/en/tokyo/A1323/A132305/13003777/,"JPY 6,000～JPY 7,999",-,7000.0,5k-10k
89,TONKATSU NARIKURA,4.26,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B90,"" "",""+""),""+"", SUBSTITUTE(F90,"" "",""+"")), ""Link"")",TONKATSU (PORK CUTLET),5500.0,5500.0,東京都杉並区成田東4-33-9,MINAMI ASAGAYA,1499,https://tabelog.com/en/tokyo/A1319/A131905/13236380/,"JPY 5,000～JPY 5,999","JPY 5,000～JPY 5,999",5500.0,5k-10k
99,MINAMIAOYAMA NANACHOUME,4.25,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B100,"" "",""+""),""+"", SUBSTITUTE(F100,"" "",""+"")), ""Link"")",YAKITORI (GRILLED CHICKEN SKEWERS),,9000.0,東京都港区南青山7-13-13 フォレストビル B1F,HIRO O,386,https://tabelog.com/en/tokyo/A1307/A130703/13200559/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
111,TORISHIGE,4.23,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B112,"" "",""+""),""+"", SUBSTITUTE(F112,"" "",""+"")), ""Link"")",GRILLED TRIPE,,9000.0,東京都渋谷区代々木2-6-5,SHINJUKU,2275,https://tabelog.com/en/tokyo/A1304/A130401/13001067/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
112,TAMAWARAI,4.23,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B113,"" "",""+""),""+"", SUBSTITUTE(F113,"" "",""+"")), ""Link"")",SOBA (BUCKWHEAT NOODLES),2500.0,5500.0,東京都渋谷区神宮前5-23-3,MEIJI JINGUMAE,1506,https://tabelog.com/en/tokyo/A1306/A130601/13129390/,"JPY 5,000～JPY 5,999","JPY 2,000～JPY 2,999",5500.0,5k-10k
117,SANLUCAR BAR,4.21,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B118,"" "",""+""),""+"", SUBSTITUTE(F118,"" "",""+"")), ""Link"")",BAR,,5500.0,東京都新宿区神楽坂6-43 K'S PLACE102,KAGURAZAKA,343,https://tabelog.com/en/tokyo/A1309/A130905/13112228/,"JPY 5,000～JPY 5,999",-,5500.0,5k-10k
163,SUMIBIYAKI YUUJI,4.07,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B164,"" "",""+""),""+"", SUBSTITUTE(F164,"" "",""+"")), ""Link"")","HORUMON (BBQ OFFEL), YAKINIKU (BBQ BEEF)",,7000.0,東京都渋谷区宇田川町11-1 松沼ビル　１Ｆ,SHIBUYA,1733,https://tabelog.com/en/tokyo/A1303/A130301/13001794/,"JPY 6,000～JPY 7,999",-,7000.0,5k-10k
176,JIYU SAN,4.04,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B177,"" "",""+""),""+"", SUBSTITUTE(F177,"" "",""+"")), ""Link"")",SOBA (BUCKWHEAT NOODLES),2500.0,7000.0,東京都中野区江原町3-1-4,HIGASHI NAGASAKI,822,https://tabelog.com/en/tokyo/A1321/A132101/13025978/,"JPY 6,000～JPY 7,999","JPY 2,000～JPY 2,999",7000.0,5k-10k
